tops,tops_href,dresses,dresses_href,bottoms,bottoms_href,outwear,outwear_href,swimwear,swimwear_href,jumpsuit,jumpsuit_href,link,link_href,name,picture_src,priceall,pricebefore,priceafter,description1,description2,color,size,itemcode
Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,,,"Rib Mock Neck Bodysuit
	Sale!
	$55.00 $35.00",http://www.voluptuousclothing.com/product/rib-mock-neck-bodysuit/,Rib Mock Neck Bodysuit,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9047-700x1050.jpg,$55.00 $35.00,$55.00 ,$35.00 ,#NAME?,#NAME?,Choose an optionGray,Choose an option1X2X3X,Z8705
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"High Rise Skinny Damaged Jeans
	Sale!
	$85.00 $49.99",http://www.voluptuousclothing.com/product/high-rise-skinny-damaged-jeans/,High Rise Skinny Damaged Jeans,http://www.voluptuousclothing.com/wp-content/uploads/2017/03/VOL_3941-550x825.jpg,$85.00 $49.99,$85.00 ,$49.99 ,#NAME?,#NAME?,Choose an optionJean,Choose an option1X3X,N/A
Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,,,"Wrap Crop Top
	Sale!
	$49.99 $34.00",http://www.voluptuousclothing.com/product/wrap-crop-top-2/,Wrap Crop Top,http://www.voluptuousclothing.com/wp-content/uploads/2017/03/VOL_4709-550x825.jpg,$49.99 $34.00,$49.99 ,$34.00 ,#NAME?,#NAME?,Choose an optionBlack,Choose an option1X2X,14848-T
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"High Waisted Daisy Duke Shorts
	Sale!
	$59.99 $39.99",http://www.voluptuousclothing.com/product/high-waisted-daisy-duke-shorts/,High Waisted Daisy Duke Shorts,http://www.voluptuousclothing.com/wp-content/uploads/2017/02/VOL_3000-550x825.jpg,$59.99 $39.99,$59.99 ,$39.99 ,#NAME?,#NAME?,Choose an optionBlack,Choose an option2X3X,6086x
,,,,,,,,Swimsuits,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/swimsuits/,,,"Modest Off Shoulder Swimsuit
	Sale!
	$79.00 $55.00",http://www.voluptuousclothing.com/product/swimsuit-plus-size-full/,Modest Off Shoulder Swimsuit,http://www.voluptuousclothing.com/wp-content/uploads/2017/03/IMG_2393-550x825.jpg,$79.00 $55.00,$79.00 ,$55.00 ,#NAME?,#NAME?,Choose an optionBlackBluePurple,Choose an option121416,1234
Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,,,"Denim Shirt
	$58.00",http://www.voluptuousclothing.com/product/blue-jean-denim-distressed-button-up-long-sleeve-blouse/,Denim Shirt,http://www.voluptuousclothing.com/wp-content/uploads/2015/11/DSC_9589-550x824.jpg,$58.00 ,null,null,"Our long sleeved jean shirt is so soft and fitted perfectly! Itäó»s one of those äóìgotta have it!äóù items. A classic that will always return with a vengeance! Pair this with a pair of our leather high waist skinny leggings, or our new leatherette skinnies! A killer pair of heels! and maybe even a fur waist coat! So chic!",Fabric Contents: 80% Cotton 20% Polyester,Choose an optionJean,Choose an option1X,IMTB1322
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Mesh Floral Sexy Dress
	Sale!
	$99.00 $55.00",http://www.voluptuousclothing.com/product/mesh-floral-sexy-dress/,Mesh Floral Sexy Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9001-700x1050.jpg,$99.00 $55.00,$99.00 ,$55.00 ,"-Mesh Sheer Dress
-Floral print
-V-Neck
-Can be used as a bathing suit cover-up
100% Polyester",null,Choose an optionBlack,Choose an option1X2X3X,N/A
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Mesh Floral Bodycon Dress
	Sale!
	$120.00 $84.00",http://www.voluptuousclothing.com/product/mesh-floral-bodycon-dress/,Mesh Floral Bodycon Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/06/VOL_7259-2-550x825.jpg,$120.00 $84.00,$120.00 ,$84.00 ,"-Floral Mesh Print
-Lined
-Bodycon Fit
-Midi Length
100% Polyester",null,Choose an optionBeige,Choose an option1X2X3Xl/XL,dx-1025
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Belted Off Shoulder Dress
	Sale!
	$85.00 $59.00",http://www.voluptuousclothing.com/product/belted-off-shoulder-dress/,Belted Off Shoulder Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_8963-700x1050.jpg,$85.00 $59.00,$85.00 ,$59.00 ,"-Belted Off shoulder dress
-Wrap feature
-Zipper opening
-3/4 length","95% Polyester, 5% Spandex",Choose an optionBlue,Choose an option1X2X3X,XD22126A
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Sheer Maxi Dress
	Sale!
	$115.00 $79.99",http://www.voluptuousclothing.com/product/sheer-maxi-dress/,Sheer Maxi Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/06/VOL_8463-550x825.jpg,$115.00 $79.99,$115.00 ,$79.99 ,#NAME?,100 % Polyester,Choose an optionCoral,Choose an option1X2X3X,PL14960S0-1
Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,,,"Flawless Crop Top
	Sale!
	$35.00 $25.00",http://www.voluptuousclothing.com/product/flawless-crop-top/,Flawless Crop Top,http://www.voluptuousclothing.com/wp-content/uploads/2017/02/VOL_3019-550x825.jpg,$35.00 $25.00,$35.00 ,$25.00 ,#NAME?,#NAME?,Choose an optionBlackWhite,Choose an option1X2X3X,TK2569
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Twist Front Maxi Dress
	Sale!
	$95.00 $59.99",http://www.voluptuousclothing.com/product/twist-front-maxi-dress/,Twist Front Maxi Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9173-700x1050.jpg,$95.00 $59.99,$95.00 ,$59.99 ,#NAME?,"95% Polyester, 5% spandex",Choose an optionBlack,Choose an option1X2X,CD1180P-D
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Damaged Off Shoulder Tunic/Dresss
	Sale!
	$79.99 $55.00",http://www.voluptuousclothing.com/product/damaged-off-shoulder-tunicdresss/,Damaged Off Shoulder Tunic/Dresss,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9416-700x1050.jpg,$79.99 $55.00,$79.99 ,$55.00 ,"-Damaged Tunic Dress
-Off the shoulder neckline
-Mini Dress
-Rib banded sleeve
87% Polyester, 10% Rayon, 3% Spandex",null,Choose an optionBlack,Choose an option1X2X3X,AD42540P
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"Distressed Skinny Jean
	Sale!
	$79.99 $56.00",http://www.voluptuousclothing.com/product/distressed-skinny-jean/,Distressed Skinny Jean,http://www.voluptuousclothing.com/wp-content/uploads/2017/01/178A3459r-550x825.jpg,$79.99 $56.00,$79.99 ,$56.00 ,Our distressed stretch skinny jean is perfect for hugging your curves and giving you the perfect fit. This ripped & damaged jean is the perfect compliment to a trendy blouse or jacket. Wear this trendy damaged jean cropped by rolling it up or full length for a more dressy look.,98% cotton 4% spandex,Choose an optionJean,Choose an option14161822,AB14035DK
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"French Lace Pencil Dress
	Sale!
	$130.00 $89.99",http://www.voluptuousclothing.com/product/french-lace-pencil-dress/,French Lace Pencil Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9516-700x1050.jpg,$130.00 $89.99,$130.00 ,$89.99 ,#NAME?,"94% Polyester, 6% Spandex",Choose an optionBlack,Choose an option1X2X,1895
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"High Rise Damaged Bermuda Shorts
	Sale!
	$79.99 $55.00",http://www.voluptuousclothing.com/product/high-rise-damaged-bermuda-shorts/,High Rise Damaged Bermuda Shorts,http://www.voluptuousclothing.com/wp-content/uploads/2017/03/VOL_3221-550x825.jpg,$79.99 $55.00,$79.99 ,$55.00 ,null,null,Choose an optionJean,Choose an option1X2X3X,4222X
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Off Shoulder Midi Dress
	Sale!
	$85.00 $59.00",http://www.voluptuousclothing.com/product/off-shoulder-midi-dress/,Off Shoulder Midi Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9072-700x1050.jpg,$85.00 $59.00,$85.00 ,$59.00 ,#NAME?,"94% polyester, 6% Spandex",Choose an optionRed,Choose an option2X3X,1951S0
